Date,Open,High,Low,Close,Volume
1-Jul-16,17.88,17.94,17.73,17.91,2279948
30-Jun-16,17.71,18.00,17.71,17.85,3581603
29-Jun-16,17.81,17.92,17.71,17.78,3840277
28-Jun-16,17.61,17.66,17.36,17.55,7850315
27-Jun-16,17.79,17.80,17.31,17.33,6658625
24-Jun-16,18.25,18.31,18.06,18.08,3182211
23-Jun-16,18.84,18.99,18.77,18.98,5260950
22-Jun-16,18.47,18.67,18.42,18.58,2582482
21-Jun-16,18.60,18.66,18.45,18.54,2051003
20-Jun-16,18.51,18.74,18.51,18.62,2635851
17-Jun-16,18.21,18.32,18.11,18.27,3555521
16-Jun-16,17.98,18.29,17.95,18.24,2059885
15-Jun-16,18.25,18.26,18.05,18.11,2487505
14-Jun-16,17.93,18.15,17.89,18.06,3435441
13-Jun-16,18.14,18.14,17.86,17.93,3974680
10-Jun-16,18.23,18.35,17.89,18.08,5507771
9-Jun-16,18.50,18.57,17.87,18.23,9555316
8-Jun-16,19.36,19.54,19.29,19.30,3844999
7-Jun-16,19.53,19.61,19.43,19.54,2657926
6-Jun-16,19.65,19.76,19.57,19.71,2240471
3-Jun-16,19.62,19.65,19.53,19.61,1784134
2-Jun-16,19.50,19.68,19.46,19.67,1783529
1-Jun-16,19.37,19.58,19.35,19.55,1630541
31-May-16,19.42,19.53,19.34,19.44,2906374
27-May-16,19.26,19.49,19.23,19.49,1884656
26-May-16,19.24,19.41,19.17,19.18,3264659
25-May-16,18.75,18.88,18.63,18.81,2491606
24-May-16,18.33,18.62,18.32,18.59,2627936
23-May-16,18.36,18.44,18.18,18.39,2222385
20-May-16,18.53,18.64,18.40,18.46,1410315
19-May-16,18.43,18.57,18.30,18.47,1799920
18-May-16,18.52,18.75,18.41,18.64,2166081
17-May-16,18.82,18.83,18.41,18.42,2203223
16-May-16,18.79,18.98,18.71,18.86,2250114
13-May-16,18.65,18.78,18.52,18.55,1415530
12-May-16,18.80,18.80,18.60,18.72,1350165
11-May-16,18.88,18.88,18.62,18.66,1716707
10-May-16,18.81,19.10,18.79,18.99,3314471
9-May-16,18.55,18.76,18.55,18.69,2474176
6-May-16,18.30,18.48,18.30,18.40,2807364
5-May-16,18.49,18.51,18.35,18.40,2480965
4-May-16,18.47,18.57,18.24,18.44,3702356
3-May-16,18.50,18.62,18.43,18.51,2284931
2-May-16,18.68,18.93,18.68,18.79,1868719
29-Apr-16,18.83,18.86,18.57,18.80,2621325
28-Apr-16,18.93,19.11,18.80,18.89,2550094
27-Apr-16,19.26,19.40,19.14,19.22,3411367
26-Apr-16,19.23,19.37,19.09,19.23,3516230
25-Apr-16,19.02,19.16,18.91,19.08,1543880
22-Apr-16,18.90,19.13,18.86,19.08,3038446
21-Apr-16,19.16,19.18,18.86,18.94,2943680
20-Apr-16,19.42,19.50,19.24,19.34,4179903
19-Apr-16,19.40,19.60,19.34,19.35,4215283
18-Apr-16,19.55,19.61,19.29,19.29,5035766
15-Apr-16,19.67,20.47,19.55,20.00,14748934
14-Apr-16,18.45,18.52,18.25,18.45,5710237
13-Apr-16,18.23,18.42,18.00,18.35,6439110
12-Apr-16,18.25,18.30,18.08,18.20,3206610
11-Apr-16,18.26,18.39,18.15,18.17,2383828
8-Apr-16,18.18,18.20,17.86,18.05,4478406
7-Apr-16,18.49,18.51,18.06,18.11,5223565
6-Apr-16,18.67,18.82,18.56,18.80,3712133
5-Apr-16,19.00,19.00,18.69,18.81,3102655
4-Apr-16,19.49,19.49,19.23,19.25,2019146
1-Apr-16,18.86,19.33,18.78,19.25,3395856
31-Mar-16,19.27,19.27,19.00,19.02,3252708
30-Mar-16,18.79,19.32,18.77,19.16,5401449
29-Mar-16,18.70,18.86,18.64,18.69,4258276
28-Mar-16,18.76,18.80,18.61,18.75,2478267
24-Mar-16,18.60,18.82,18.59,18.81,3000098
23-Mar-16,18.70,18.70,18.38,18.66,4490019
22-Mar-16,18.48,18.64,18.34,18.51,3325016
21-Mar-16,18.54,18.77,18.47,18.68,3132166
18-Mar-16,18.58,18.61,18.35,18.52,2608255
17-Mar-16,18.20,18.34,18.04,18.33,2578201
16-Mar-16,17.92,18.19,17.67,18.18,2632498
15-Mar-16,17.82,17.86,17.72,17.75,2814265
14-Mar-16,17.86,18.12,17.85,18.02,3313194
11-Mar-16,17.84,17.96,17.72,17.96,3092046
10-Mar-16,17.71,17.99,17.64,17.77,5954795
9-Mar-16,18.30,18.30,17.72,17.84,4801346
8-Mar-16,18.04,18.06,17.84,17.92,3325033
7-Mar-16,18.25,18.49,18.23,18.41,2030525
4-Mar-16,18.16,18.47,18.12,18.44,3730425
3-Mar-16,17.72,18.22,17.72,18.18,5440565
2-Mar-16,17.52,17.80,17.46,17.68,5858346
1-Mar-16,17.21,17.49,17.12,17.42,3717459
29-Feb-16,16.50,16.94,16.49,16.82,5476685
26-Feb-16,16.93,16.96,16.65,16.89,3824913
25-Feb-16,16.61,16.91,16.60,16.87,4121183
24-Feb-16,16.57,16.86,16.50,16.84,4208105
23-Feb-16,16.74,16.87,16.62,16.65,4361656
22-Feb-16,16.73,17.01,16.68,16.89,6166989
19-Feb-16,16.44,16.49,16.24,16.39,5464378
18-Feb-16,16.73,16.75,16.39,16.41,7033790
17-Feb-16,16.41,16.53,16.24,16.48,15537000
16-Feb-16,16.07,16.29,16.01,16.21,10596419
12-Feb-16,16.38,16.46,15.96,16.10,4471567
11-Feb-16,16.01,16.26,15.91,16.21,7306515
10-Feb-16,16.48,16.74,16.33,16.35,4489990
9-Feb-16,16.33,16.49,16.14,16.34,8164642
8-Feb-16,17.00,17.10,16.26,16.55,10245972
5-Feb-16,17.72,17.76,17.31,17.35,3867224
4-Feb-16,17.83,17.89,17.67,17.84,3165853
